Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Cliff Alexander,POR,20,6.6666,240,Kansas,USA,2020,3,70,8,1.3,0.8,0,-15.1,8.7,11.8,15.1,50,0
Clint Capela,HOU,22,6.8333,240,None,Switzerland,2014,1,25,77,7,6.4,0.6,3.1,14.1,22.5,15.9,55.3,5
Cody Zeller,CHA,23,7,240,Indiana,USA,2013,1,4,73,8.7,6.2,1,4.4,8.6,20.1,15.4,59.2,6.1
Cole Aldrich,LAC,27,6.9166,250,Kansas,USA,2010,1,11,60,5.5,4.8,0.8,1,12.2,28.4,19,62.6,10.7
Corey Brewer,HOU,30,6.75,186,Florida,USA,2007,1,7,82,7.2,2.4,1.3,-2.2,2.7,10.2,17.6,48.1,10.2
Cory Jefferson,PHX,25,6.75,218,Baylor,USA,2014,2,60,8,2.8,2,0,-10.2,12.2,19.6,20.9,44.6,0
Cory Joseph,TOR,24,6.25,190,Texas,Canada,2011,1,29,80,8.5,2.6,3.1,6.9,2.1,9.2,17,51.2,19.9
Coty Clarke,BOS,23,6.5833,225,None,USA,2020,3,70,3,2,0.3,0,24.4,0,33.3,36.3,75,0
Courtney Lee,CHA,30,6.4166,200,Western Kentucky,USA,2008,1,22,79,9.6,2.6,1.7,2.9,1.4,8.7,15,55.1,8.8
Cristiano Felicio,CHI,23,6.8333,275,None,Brazil,2020,3,70,31,3.4,3.3,0.8,5.6,10.9,25.2,13.6,60.1,11.5
D'Angelo Russell,LAL,20,6.4166,195,Ohio State,USA,2015,1,2,80,13.2,3.4,3.3,-13,2.1,11.3,24.1,50.7,21.3
D.J. Augustin,DEN,28,6,183,Texas,USA,2008,1,9,62,7.5,1.5,3.2,-1.4,0.8,8.1,18.3,57.5,25.7
Dahntay Jones,CLE,35,6.5,225,Duke,USA,2003,1,20,1,13,5,2,-6.1,2.8,11.4,15.7,46.4,6.7
Damian Lillard,POR,25,6.25,195,Weber State,USA,2012,1,6,75,25.1,4,6.8,0.9,1.8,10.5,31,56,33
Damien Inglis,MIL,21,6.6666,246,None,France,2014,2,31,20,1.8,1.6,0.5,-10,1.6,19.5,15.8,44.4,11.2
